,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
56375,2020-07-10 23:34:43,4428154703770710,fraud_Kozey-McDermott,travel,4.72,Brittany,Guerra,F,79209 Gary Dale,Colton,WA,99113,46.5901,-117.1692,761,Chief Marketing Officer,1943-06-30,8aa46f1253101a9c1e221c9935c6b485,1373499283,47.455129,-116.312226,0
442690,2020-12-07 05:35:35,6011679934075347,fraud_Parisian and Sons,gas_transport,86.89,Jennifer,Gonzalez,F,5517 Stacy Land,Jelm,WY,82063,41.0539,-106.0763,100,Public librarian,1974-04-16,8c470338468ae847afbff63082be56b7,1386394535,42.040222,-105.237729,0
284617,2020-10-05 17:39:13,36485887555770,fraud_Thiel-Thiel,entertainment,113.69,Michael,Gross,M,230 Ryan Tunnel Apt. 025,Fulton,OH,43321,40.4971,-82.8342,267,Facilities manager,2005-01-29,8cfa5d32747697f5f2adeebfcbe3af99,1380994753,40.842166,-82.40275600000001,0
472840,2020-12-13 21:49:05,4836998673805450,fraud_Kihn Inc,shopping_pos,7.79,Susan,Hardy,F,516 Brown Parks,Manistique,MI,49854,46.0062,-86.2555,6469,Trade mark attorney,1979-04-12,9c3cae0e62076cc65492cc14146a14fa,1386971345,46.989148,-86.480532,0
187469,2020-08-25 17:18:39,2305336922781618,fraud_Swift PLC,kids_pets,72.83,Jeffrey,Rice,M,21447 Powell Circle,Moulton,IA,52572,40.6866,-92.6833,1132,Probation officer,1961-02-14,bffce9cd6ac74810cc9301a5b5762112,1377451119,40.334981,-92.189327,0
194806,2020-08-28 22:47:38,370612217861404,fraud_Fritsch LLC,travel,3.11,Amanda,Fitzgerald,F,298 Kayla Lights,Bristol,PA,19007,40.1159,-74.8536,21125,"Administrator, charities/voluntary organisations",1985-05-25,d0717f292ec321b03b853cb16b469a88,1377730058,40.362028,-75.52378900000001,0
312858,2020-10-18 13:07:11,36721445180895,fraud_Thompson-Gleason,health_fitness,94.75,Cesar,Smith,M,901 Ariel Points,Jefferson,NY,12093,42.4999,-74.6117,1666,Diagnostic radiographer,1968-07-01,02ec9db1b7fa710395a9451c21ceb910,1382101631,42.665578,-74.34115,0
11382,2020-06-24 18:55:07,3557442674264531,fraud_Smith-Stokes,misc_pos,15.14,Angela,Edwards,F,486 Wilkins Pines,Lithopolis,OH,43136,39.8013,-82.8125,460,"Lecturer, higher education",2004-06-19,4a3dc6066df872577f7183e50185cd69,1372100107,40.771697,-82.561063,0
55032,2020-07-10 12:13:12,3564839259330465,"fraud_Turcotte, McKenzie and Koss",entertainment,2.17,Robert,Ashley,M,1250 Christopher Prairie Suite 016,Port Costa,CA,94569,38.046,-122.1866,198,Armed forces training and education officer,1959-03-31,db6796c324274559327426abbb463081,1373458392,37.987514,-122.576951,0
527917,2020-12-26 01:58:26,3513618443244549,fraud_Sawayn PLC,shopping_pos,2.69,Amber,Perez,F,954 Reyes Ways,Fulton,SD,57340,43.7588,-97.8712,355,Financial adviser,1955-06-26,cba9ed8f916ba8547942689029c0ecad,1388023106,43.406229,-97.224485,0
92349,2020-07-23 08:16:51,6011999606625827,fraud_Barton Inc,grocery_pos,80.88,Ronald,Carson,M,870 Rocha Drive,Harrington Park,NJ,7640,40.9918,-73.98,4664,"Radiographer, diagnostic",1965-06-30,fa5a67a7e74a7ba8dfafdad1e12988cf,1374567411,40.738564,-74.104935,0
514665,2020-12-22 13:45:11,6011104316292105,fraud_Pacocha-Bauch,shopping_pos,12.53,Valerie,Davis,F,3861 Anderson Ramp Apt. 536,Drakes Branch,VA,23937,36.9688,-78.5615,1970,Energy engineer,1985-09-02,01c685ca06bf2f632a5fd3311c6d757c,1387719911,36.947929,-78.246275,0
338623,2020-10-29 08:31:17,6011860238257910,fraud_Barton Inc,grocery_pos,106.73,Lisa,Mendez,F,44259 Beth Station Suite 215,Lahoma,OK,73754,36.385,-98.0727,1078,"Programme researcher, broadcasting/film/video",1952-07-06,5f963fe1788db9c9a0d30c4efea4a4fc,1383035477,36.55895,-98.966187,0
34085,2020-07-03 01:41:22,580954173374,fraud_Mayert Group,shopping_pos,5.46,Jessica,Benitez,F,31281 Thomas Inlet,Montrose,NY,10548,41.2496,-73.9446,3487,Race relations officer,1960-01-13,665bc0ef841e0fd23485536d587efea1,1372815682,42.023827,-73.772297,0
494943,2020-12-18 17:35:49,30344654314976,fraud_Padberg-Sauer,home,6.86,Christine,Johnson,F,8011 Chapman Tunnel Apt. 568,Blairsden-Graeagle,CA,96103,39.8127,-120.6405,1725,Chartered legal executive (England and Wales),1967-05-27,be025008b4ef696958c8a62949ea36a8,1387388149,38.854201,-121.117578,0
336775,2020-10-28 03:18:04,4777065439639721,fraud_Eichmann-Russel,misc_pos,36.76,Peter,Caldwell,M,08966 Beltran Route Suite 905,Oaks,PA,19456,40.1334,-75.4536,737,Oceanographer,1987-04-24,c7ddeeb25753c4bcd85f53054a125dcc,1382930284,39.58743,-74.46129599999999,0
112746,2020-07-30 15:27:20,4642255475285942,fraud_Miller-Harris,misc_net,68.75,Sabrina,Johnson,F,320 Nicholson Orchard,Thompson,UT,84540,38.9999,-109.615,46,"Surveyor, minerals",1987-04-23,d601cae35e4ff8313bf4c622036fae62,1375198040,38.533199,-109.036315,0
323772,2020-10-22 23:25:29,4761403817546679245,fraud_Fahey Inc,kids_pets,34.91,Diana,Jacobs,F,69608 Perez Mountain Apt. 006,Viola,AR,72583,36.3924,-91.9932,1679,Psychiatric nurse,1986-05-02,9c1487f81aaaf36d317cd17c5f96cf6a,1382484329,37.35438,-91.001506,0
119158,2020-08-02 08:21:47,4951647200979051,"fraud_Swift, Bradtke and Marquardt",grocery_net,74.3,Kimberly,Miller,F,75533 Tamara Valleys,Logan,IL,62856,37.9943,-88.9417,324,"Scientist, research (physical sciences)",1976-06-15,d288bfeda00d602542d8e6122d8b3d1e,1375431707,37.033266,-88.022136,0
472054,2020-12-13 18:53:19,5359543825610251,"fraud_Schiller, Blanda and Johnson",home,65.31,Michael,Francis,M,1833 Jeanette Stravenue,Belgrade,MT,59714,45.7801,-111.1439,18182,"Engineer, drilling",1975-06-29,854a6dd61551f1088aae7f70120dc187,1386960799,46.74386,-111.229567,0
545589,2020-12-29 12:03:38,4005676619255478,fraud_Dare-Gibson,health_fitness,19.24,William,Perry,M,458 Phillips Island Apt. 768,Denham Springs,LA,70726,30.459,-90.9027,71335,Herbalist,1994-05-31,346f737711ed7fd08c72d7eba1de222e,1388318618,30.01199,-90.689626,0
509083,2020-12-21 16:06:10,3552581383553463,"fraud_Weber, Thiel and Hammes",kids_pets,13.03,Jonathan,Castro,M,200 Christie Mills Apt. 307,Andrews,NC,28901,35.1959,-83.8228,5354,Retail buyer,1965-04-13,9bec868972cfb263f93219b021228917,1387641970,34.445369,-84.767483,0
301558,2020-10-12 23:41:23,5154903938030655,fraud_Gleason-Macejkovic,shopping_net,12.44,Felicia,Combs,F,825 Martinez Springs Apt. 625,White Sulphur Springs,WV,24986,37.7827,-80.3129,5216,Community development worker,1993-10-05,d84e72fb99ae52c6909c51ec45a5556c,1381621283,37.466834000000006,-79.547451,0
296854,2020-10-11 12:57:46,30235438713303,fraud_Stark-Batz,entertainment,11.62,James,Baldwin,M,3603 Mitchell Court,Winfield,WV,25213,38.5072,-81.89,5512,Exhibition designer,1980-03-24,e9e16f06dcb822479aca2e73a2e31e5a,1381496266,37.993721,-82.889994,0
47523,2020-07-07 10:33:05,3525668150756629,"fraud_Nitzsche, Kessler and Wolff",shopping_pos,129.4,Christopher,Choi,M,04611 Sandra Spring Suite 059,Rumely,MI,49826,46.3481,-87.0436,137,Film/video editor,1990-08-13,79a7a878149086910353a615d8988f74,1373193185,47.084654,-87.44247299999999,0
17450,2020-06-27 14:07:09,6593250708747804,fraud_Johnston-Casper,travel,7.99,Melissa,Meza,F,244 Abbott Parkway,Loxahatchee,FL,33470,26.7383,-80.27600000000001,26551,Paramedic,1977-01-04,95d36fbe2f9be861eb3dee4de04172a0,1372342029,26.308907,-79.434702,0
437565,2020-12-06 08:16:15,4355790796238264643,fraud_Kuhn LLC,misc_net,2.46,Tanner,Davis,M,2632 Stevens Light Apt. 213,Payson,IL,62360,39.8153,-91.2627,1656,Exhibition designer,1969-08-04,b99b033b5c3afbc52d7ce587664e6802,1386317775,40.318262,-92.091226,0
243556,2020-09-17 18:32:32,180065479077096,fraud_Jerde-Hermann,travel,9.42,Krystal,Gamble,F,47152 Clayton Burg,Manchester,MD,21102,39.6747,-76.8941,11751,Clinical research associate,1964-02-15,fb6dcf0dd94424f4b6c25d21ea719007,1379442752,39.670113,-77.345872,0
52364,2020-07-09 06:41:02,4229733778084049,"fraud_Goldner, Kovacek and Abbott",grocery_pos,23.88,Tyler,Mills,M,7838 Jason Squares,Elizabethtown,KY,42701,37.6848,-85.8784,48194,Surgeon,1990-05-03,100bd8212420ae0b0d18eb8fc48b1541,1373352062,36.818813,-86.607925,0
431943,2020-12-04 22:04:23,4364010865167176,"fraud_Watsica, Haag and Considine",shopping_pos,6.12,Gary,Martinez,M,03512 Jackson Ports,Reno,NV,89512,39.5483,-119.7957,276896,Immunologist,1997-03-12,2424a034b30c0ffb539de9ecc74df2e0,1386194663,39.925607,-120.063385,0
315812,2020-10-19 13:09:11,3567697931646329,"fraud_Jones, Sawayn and Romaguera",misc_net,217.02,John,Stevens,M,428 Morgan River,Hudson,NY,12534,42.247,-73.7552,17867,Travel agency manager,1998-07-29,d67e0d0a4c40dfb4b6c0ee9bfa2f39ad,1382188151,43.073326,-73.93132299999999,0
97100,2020-07-25 12:04:47,36722699017270,"fraud_Romaguera, Cruickshank and Greenholt",shopping_net,5.94,Jessica,Perez,F,8172 Robertson Parkways Suite 072,Superior,AZ,85173,33.2887,-111.0985,2872,Petroleum engineer,1987-10-28,753935aee9b007edebf758cf3648ce5a,1374753887,33.072359000000006,-110.134423,0
167117,2020-08-18 14:23:16,30273037698427,fraud_Haley Group,misc_pos,174.63,Andrew,Patterson,M,06959 Stephen Branch Suite 246,Thida,AR,72165,35.5762,-91.4539,111,Careers information officer,2000-06-13,4113245b4e738b55c5f617045d6dc565,1376835796,34.680353000000004,-92.213118,0
79762,2020-07-19 10:33:44,4998109455173950,"fraud_Connelly, Reichert and Fritsch",gas_transport,75.26,Mary,Pruitt,F,2819 Luke Greens Suite 563,Kansas City,MO,64114,38.9621,-94.5959,545147,Counsellor,1987-11-18,b0f833837fbc70b7df71cd077df71635,1374230024,38.427037,-93.729762,0
45307,2020-07-06 19:42:52,4745996322265,"fraud_Welch, Rath and Koepp",entertainment,69.14,Carrie,Washington,F,6114 Adams Harbor Suite 096,Kingsford Heights,IN,46346,41.4802,-86.6919,1423,"Psychologist, forensic",1998-10-07,3db9bb5d5787d2a6637ef933b6148aea,1373139772,40.758487,-87.465225,0
318011,2020-10-20 04:23:52,4147608975828480,fraud_Goyette Inc,shopping_net,3.19,Edward,Tapia,M,354 Gutierrez Gateway,Comfrey,MN,56019,44.1111,-94.9134,914,Health and safety adviser,1944-07-26,7a0c3c2f8c6ed6e5a4ca75eb03a987cd,1382243032,44.519018,-94.558814,0
243231,2020-09-17 14:22:53,568279015842,fraud_Nienow PLC,entertainment,61.82,Micheal,Hernandez,M,6139 Mark Rapid Apt. 651,Christine,ND,58015,46.5522,-96.7909,291,Television floor manager,1991-05-01,7d325b66e75afc1bd0d2313aa7729296,1379427773,47.141835,-97.506035,0
524894,2020-12-25 07:06:11,3538520143479972,fraud_Towne LLC,misc_pos,16.4,Cassandra,Nunez,F,9572 Austin Forge Suite 612,Clay Center,OH,43408,41.5686,-83.3632,269,Insurance underwriter,1965-09-15,16f539e16f9c875d5e172472a15a0f5d,1387955171,42.099565000000005,-82.811593,0
319166,2020-10-20 14:42:42,4873783502705038,fraud_Rippin-VonRueden,health_fitness,9.59,Elizabeth,Maxwell,F,194 Goodman Fall Apt. 569,Burlington,WA,98233,48.4786,-122.3345,14871,Public house manager,1974-03-10,9b8f43ac45e52ef63ff668c7ece8d2d6,1382280162,47.719085,-122.63423799999998,0
327659,2020-10-25 01:19:16,4859525594182537,fraud_Kuhic Inc,grocery_pos,94.48,Rebecca,Farley,F,383 Long Islands,Downsville,NY,13755,42.0716,-75.0152,1228,"Psychotherapist, child",1990-02-25,47ae6cbafe43692840296ca600076684,1382663956,42.184687,-74.405173,0
254315,2020-09-22 06:04:27,573860193545,fraud_Kilback LLC,grocery_pos,54.33,Cristian,Jones,M,0423 Kirby Field Suite 623,Wilmette,IL,60091,42.0765,-87.7246,27020,Trade mark attorney,1986-07-23,404987791c83914b45fa8645a0ae856f,1379829867,42.80687,-88.270808,0
122423,2020-08-03 05:50:32,6011893664860915,"fraud_Nienow, Ankunding and Collier",misc_pos,9.36,Erin,Chavez,F,3379 Williams Common,Littleton,CO,80120,39.5994,-105.0044,320420,Water engineer,1975-07-31,daf31d041c921f4d9d69238893f092dc,1375509032,39.275756,-104.877065,0
394496,2020-11-23 04:59:05,3524574586339330,"fraud_Kerluke, Considine and Macejkovic",misc_net,6.82,Ashley,Cabrera,F,94225 Smith Springs Apt. 617,Vero Beach,FL,32960,27.633000000000003,-80.4031,105638,"Librarian, public",1986-05-07,aec83ffc345049a7ac57862d2a429a31,1385182745,27.818789,-79.640424,0
10037,2020-06-24 00:30:17,213161293389774,"fraud_Raynor, Feest and Miller",gas_transport,76.17,Catherine,Weber,F,74890 Rodriguez Springs Apt. 540,West Henrietta,NY,14586,43.0397,-77.6871,10256,"Teacher, primary school",1968-06-24,41eb30b24ecb47369d4b0abdfb66203c,1372033817,43.561546,-77.092545,0
497385,2020-12-19 10:04:18,6011305591981276,fraud_Koepp-Parker,grocery_pos,95.41,Daniel,Jones,M,290 Kathryn Fall,Huntsville,AL,35803,34.6205,-86.551,190178,"Engineer, automotive",1959-06-06,8aa35aa70b2fc8ce67e9519fba160686,1387447458,35.28287,-85.717,0
9783,2020-06-23 22:48:19,3514865930894695,fraud_Bogisich-Weimann,kids_pets,27.1,Christopher,Castaneda,M,1632 Cohen Drive Suite 639,High Rolls Mountain Park,NM,88325,32.9396,-105.8189,899,Naval architect,1967-08-30,576e45d826aae3acedffbfc1ed81a4a9,1372027699,32.576968,-106.424462,0
322735,2020-10-22 09:58:06,4914700582394237,"fraud_Jenkins, Hauck and Friesen",gas_transport,69.9,John,Williams,M,8929 Phillips Corners Suite 259,Harmony,PA,16037,40.8496,-80.1381,4589,Bookseller,1956-05-01,4d7f5397c28dd6f398d73c0ea5d6ecbf,1382435886,41.043652,-79.49873000000001,0
364547,2020-11-09 18:35:23,4173950183554608,"fraud_Lesch, D'Amore and Brown",food_dining,55.2,Stephen,Marshall,M,47144 Roberts Keys,Monmouth Beach,NJ,7750,40.333,-73.9809,3279,Health promotion specialist,1978-10-05,5b66f24a2255bac8ff5e91f9b3af4abb,1384022123,40.477689,-74.12701,0
517337,2020-12-22 22:30:59,2720433095629877,"fraud_Kerluke, Considine and Macejkovic",misc_net,60.52,Mark,Wood,M,854 Walker Dale Suite 488,Bowdoin,ME,4287,44.0575,-69.9656,3224,"Engineer, electronics",1997-08-22,beb0dd9a673f2bd8fc01f1acd7284108,1387751459,43.376507,-70.432084,0
66426,2020-07-14 01:53:11,3524574586339330,"fraud_Parisian, Schiller and Altenwerth",misc_net,112.68,Ashley,Cabrera,F,94225 Smith Springs Apt. 617,Vero Beach,FL,32960,27.633000000000003,-80.4031,105638,"Librarian, public",1986-05-07,f6f8b98b1b73406257081a2f899a99ae,1373766791,28.05123,-80.84311600000001,0
273907,2020-09-30 19:59:19,5104807169438134,fraud_Stiedemann Ltd,food_dining,63.8,Regina,Johnston,F,641 Steven Mall Apt. 299,Westhampton Beach,NY,11978,40.8295,-72.6473,3255,Financial trader,1978-07-08,d69e54a39566c17a547b11842ed9225b,1380571159,40.562548,-73.613412,0
475452,2020-12-14 09:30:47,4708992452821239,fraud_Rowe-Vandervort,grocery_net,50.71,Jared,Walters,M,3326 Hannah Fords,Cord,AR,72524,35.8184,-91.3375,376,"Designer, ceramics/pottery",1938-09-08,26c8d9d9d040177e1f7ade1bae7a6d0d,1387013447,36.460441,-90.827715,0
280002,2020-10-04 03:10:02,344342339068828,fraud_Kihn-Fritsch,food_dining,112.02,Ruth,Fuller,F,37732 Joe Courts Apt. 752,Darien,GA,31305,31.3826,-81.4312,5989,Tax adviser,1967-05-05,2df6e48a75e452166c3f2f0c1b036349,1380856202,30.429762,-81.03151,0
265556,2020-09-27 17:37:56,3598215285024754,"fraud_Wuckert, Wintheiser and Friesen",home,22.53,Ashley,Lopez,F,9333 Valentine Point,Bellmore,NY,11710,40.6729,-73.5365,34496,"Librarian, public",1970-10-21,7c9c8c25b14fdb8dc41a26b7bfeaf728,1380303476,40.027062,-73.504659,0
166737,2020-08-18 12:30:34,377113842678100,fraud_Medhurst Inc,home,16.54,Billy,Gallagher,M,673 Delgado Burg,Greenwich,NJ,8323,39.4055,-75.3209,804,Insurance risk surveyor,1965-03-25,115e940aa4666cdeb1809ea5458dc13e,1376829034,39.65987,-76.088426,0
196100,2020-08-29 14:07:37,4509922033272157,"fraud_Armstrong, Walter and Gottlieb",food_dining,42.99,Monica,West,F,22084 Smith Roads Suite 776,Hurley,SD,57036,43.2893,-97.1904,811,Neurosurgeon,1972-03-28,ca986c41d6f6e30e52995be1057dd871,1377785257,42.445772,-96.322425,0
339316,2020-10-29 18:17:03,4809701904914,fraud_Morissette PLC,shopping_pos,1.13,Sabrina,Nolan,F,312 Eric Expressway Apt. 014,Phenix City,AL,36869,32.4204,-85.0796,59744,Chemical engineer,1984-02-07,376ccbb45ef06530d171bb617f4e6ba9,1383070623,33.106691,-85.22854699999999,0
171903,2020-08-20 13:34:50,2266735643685262,fraud_Rolfson-Kunde,personal_care,18.86,Carlos,Chung,M,8957 Russell Key,Grant,AL,35747,34.4959,-86.259,5901,Curator,1972-07-25,61e84f91d3940a51b738e8c052eec94c,1377005690,35.296515,-86.837068,0
146170,2020-08-11 03:53:44,4335531783520911,fraud_Kunze Inc,grocery_pos,315.01,Amy,Daugherty,F,852 Thomas Well Suite 339,Owensville,MO,65066,38.3511,-91.4867,6703,Naval architect,1998-05-20,e464407315e9dfde91351ea0596e5580,1376193224,37.436188,-91.8161,1
184405,2020-08-24 21:07:27,4681699462969,fraud_Ziemann-Waters,health_fitness,16.61,Joseph,Gonzalez,M,319 Wendy Fort Suite 179,Murfreesboro,TN,37132,35.8596,-86.421,158701,"Journalist, newspaper",1978-03-06,55caf42af7ca7c9f05b5494ec8bb8196,1377378447,35.580745,-86.20509,0
545246,2020-12-29 10:28:11,30175986190993,"fraud_Effertz, Welch and Schowalter",entertainment,87.87,Rebecca,Butler,F,0665 Lisa Alley,Winger,MN,56592,47.5375,-95.9941,516,Applications developer,1966-06-07,debe955ba92ba070edb9788708e48666,1388312891,46.758611,-96.758026,0
301213,2020-10-12 21:40:06,4698163635895795,"fraud_Kutch, Steuber and Gerhold",food_dining,20.28,Sharon,Powell,F,101 Carla Loop,Wendel,CA,96136,40.3406,-120.2824,104,"Teacher, adult education",1989-08-16,add7a5c5803107450b2fac4a858a5f4b,1381614006,39.530415000000005,-120.021212,0
362549,2020-11-09 04:02:33,3563837241599446,fraud_Ledner-Pfannerstill,gas_transport,43.87,Timothy,Simmons,M,1049 John Ports Suite 057,Newberg,OR,97132,45.3099,-122.9685,28278,Research scientist (physical sciences),1977-07-17,b6ee9e912277273c5d327e9f30050fbd,1383969753,44.987141,-122.099313,0
223222,2020-09-08 14:55:48,180042946491150,fraud_Rau-Robel,kids_pets,61.33,Charles,Robles,M,3337 Lisa Divide,Saint Petersburg,FL,33710,27.7898,-82.7243,341043,"Engineer, land",1989-02-28,4d00b58fc7be66140ed800e0c7bfe6b1,1378652148,28.589686,-82.570576,0
352983,2020-11-04 09:23:36,4279161831637,fraud_Cummerata-Jones,gas_transport,80.59,Lisa,Hendrix,F,35737 Kirby Fall Suite 409,Vanderbilt,PA,15486,40.0246,-79.6955,2303,Physiotherapist,1987-08-16,687dd62fabc9e6123046211ac42ea305,1383557016,39.060432,-79.863476,0
116859,2020-08-01 12:48:20,375248307838179,fraud_Reilly and Sons,health_fitness,11.17,Joshua,Mendoza,M,4215 Miranda Field Suite 326,Tallmansville,WV,26237,38.8564,-80.158,571,Accounting technician,1967-09-16,a1729d92a4e6043139e5fe172118c5c7,1375361300,38.721361,-80.699586,0
50053,2020-07-07 23:41:19,3502088871723054,"fraud_Schiller, Blanda and Johnson",home,49.06,Scott,Martin,M,31472 Cody Place Suite 740,Kensington,MD,20895,39.0298,-77.0793,19054,Operations geologist,1976-09-08,cea591cd89130478aff8fd2eb9012c0a,1373240479,39.939301,-77.09536800000001,0
381735,2020-11-17 02:59:03,371226440126102,fraud_Bartoletti-Wunsch,gas_transport,53.81,Stacy,Lambert,F,85430 Julie Trafficway Suite 792,Mulberry Grove,IL,62262,38.9311,-89.2463,1810,Race relations officer,1974-12-24,b0ee9cb89d8e59bed9fa6a317c182d57,1384657143,39.356284,-89.274883,0
318313,2020-10-20 07:01:29,371985236239474,fraud_Bartoletti-Wunsch,gas_transport,60.78,Benjamin,Martin,M,0495 Baker Manors,Oriskany Falls,NY,13425,42.9576,-75.4838,1970,"Programmer, multimedia",1949-06-09,0507ae3647108a12538766f8aced4d00,1382252489,42.48686,-76.143906,0
15563,2020-06-26 18:00:01,3533012926413100,fraud_Bode-Schuster,kids_pets,103.67,Megan,Bernard,F,128 Nathan Ramp,Barneveld,NY,13304,43.2237,-75.1612,1684,IT trainer,1994-03-01,8637e3fbf7bdd95e933269dad8155e96,1372269601,43.730305,-75.007384,0
202492,2020-08-31 13:26:13,6011399591920186,"fraud_Altenwerth, Cartwright and Koss",shopping_net,9.11,Maria,Roy,F,58665 Nicholas Ford Suite 348,Sheffield,MA,1257,42.1001,-73.3611,2121,Radio producer,1973-10-14,f5c8d6a0d8fa05d5efd98699f6fc9b4a,1377955573,42.892605,-73.611876,0
